sample_ID,site,timestamp,pCH4_uatm,CH4_uM,CH4_notes,pCO2_uatm,CO2_uM,CO2_notes,pN2O_uatm,N2O_uM,N2O_notes
PRLA.OT.20170803,PRLA,8/3/2017 15:09,1630.13,2.644,,1170,45.7,,0.556,0.016,
PRLA.OT.20170906,PRLA,9/6/2017 14:30,111.06,0.2,,620,27.6,,0.384,0.013,
PRLA.OT.20171019,PRLA,10/19/2017 15:20,116.88,0.267,,522,31.2,,0.448,0.021,
PRLA.OT.20171101,PRLA,11/1/2017 15:37,251.13,0.67,,471,34.4,,0.4,0.023,
PRLA.RE.20171101,PRLA,11/1/2017 14:49,315.97,0.841,,471,34.3,,0.368,0.021,
PRPO.C0.20160607,PRPO,6/7/2016 14:55,128.5,0.229,,3042,133.4,,0.678,0.022,
PRPO.C0.20160706,PRPO,7/6/2016 14:40,152.7,0.244,,915,35.1,,0.221,0.006,
PRPO.C0.20160802,PRPO,8/2/2016 14:35,465.55,0.715,,608,22.1,,0.15,0.004,
PRPO.C0.20160906,PRPO,9/6/2016 15:30,336.61,0.604,,9224,407.6,,0.865,0.029,
PRPO.C0.20161018,PRPO,10/18/2016 15:15,14.18,0.032,,318,18.5,,0.488,0.022,
PRPO.C0.20161115,PRPO,11/15/2016 16:20,11.29,0.027,,1101,68.7,,1.019,0.05,
PRPO.C0.20161221,PRPO,12/21/2016 17:00,28.19,0.077,,1517,113.6,,0.44,0.026,
PRPO.C0.20170117,PRPO,1/17/2017 16:40,64.13,0.175,,3254,244.3,,0.509,0.031,
PRPO.C0.20170214,PRPO,2/14/2017 17:00,160.23,0.427,,4169,305.1,,0.551,0.032,
PRPO.C0.20170321,PRPO,3/21/2017 14:45,565.94,1.384,,4479,295.9,,0.667,0.035,
PRPO.C0.20170411,PRPO,4/11/2017 14:50,29.45,0.073,,612,40.7,,0.581,0.03,
PRPO.C0.20170502,PRPO,5/2/2017 14:10,21.24,0.046,,326,18.3,,0.411,0.018,
PRPO.C0.20170606,PRPO,6/6/2017 14:35,329.18,0.541,,774,30.7,,0.435,0.013,
PRPO.C0.20170705,PRPO,7/5/2017 14:40,110.38,0.176,,713,27.2,,0.41,0.012,
PRPO.C0.20170802,PRPO,8/2/2017 14:24,510.6,0.788,,1501,55,,0.736,0.02,
PRPO.C0.20170905,PRPO,9/5/2017 14:05,29.5,0.053,,623,27.6,,0.415,0.014,
PRPO.C0.20171017,PRPO,10/17/2017 14:15,11.35,0.026,,674,41,,0.438,0.021,
PRPO.C0.20171031,PRPO,10/31/2017 15:24,3.12,0.008,,488,35.8,,0.359,0.021,
PRPO.C0.20180102,PRPO,1/2/2018 17:20,39.84,0.106,,1515,110.4,,0.39,0.023,
PRPO.C0.20180213,PRPO,2/13/2018 15:50,22.59,0.06,,1597,115.4,,0.286,0.017,
PRPO.C0.20180313,PRPO,3/13/2018 14:55,35.14,0.089,,1488,102,,0.254,0.014,
PRPO.C0.20180417,PRPO,4/17/2018 15:05,143.44,0.376,,2938,210.3,,0.225,0.013,
PRPO.C0.20180501,PRPO,5/1/2018 14:20,3251.68,7.265,,1267,73.9,,0.22,0.01,
PRPO.C0.20180605,PRPO,6/5/2018 14:05,115.24,0.201,,697,29.7,,1.052,0.033,
PRPO.C0.20180620,PRPO,6/20/2018 14:14,171.95,0.286,,828,33.3,,0.423,0.013,
PRPO.C0.20180705,PRPO,7/5/2018 13:55,244.22,0.384,,745,28,,0.938,0.026,
PRPO.C0.20180807,PRPO,8/7/2018 13:46,196.05,0.316,,866,33.5,,0.614,0.018,
PRPO.C0.20180904,PRPO,9/4/2018 14:30,111.01,0.19,,634,26.4,,0.378,0.012,
PRPO.C0.20181016,PRPO,10/16/2018 14:00,12.25,0.032,,869,61.1,,0.465,0.026,
PRPO.C0.20181030,PRPO,10/30/2018 14:55,18.16,0.043,,729,45.3,,0.353,0.017,
PRPO.C0.20181204,PRPO,12/4/2018 15:45,2745.78,7.203,,1340,96.2,,0.853,0.049,
PRPO.C0.20190110,PRPO,1/10/2019 16:05,76.43,0.202,,1118,81.2,,0.547,0.032,
PRPO.C0.20190211,PRPO,2/11/2019 16:35,60.41,0.161,,2241,164.6,,1.143,0.067,
PRPO.C0.20190326,PRPO,3/26/2019 14:48,98.86,0.265,,3926,289.5,,0.76,0.045,
PRPO.C0.20190423,PRPO,4/23/2019 14:25,33.48,0.082,,432,28.2,,0.671,0.034,
PRPO.C0.20190507,PRPO,5/7/2019 14:40,0.01,0,BDL,539,30.2,,0.553,0.024,
PRPO.C0.20190604,PRPO,6/4/2019 13:39,52.43,0.09,,869,36.5,,0.298,0.009,
PRPO.C0.20190701,PRPO,7/1/2019 13:26,155.67,0.248,,5195,198.1,,0.065,0.002,
PRPO.C0.20190806,PRPO,8/6/2019 14:15,90.05,0.141,,776,29,,0.422,0.012,
PRPO.C0.20190904,PRPO,9/4/2019 13:55,39.87,0.073,,402,18.1,,0.426,0.014,
PRPO.C0.20191016,PRPO,10/16/2019 14:32,9.43,0.025,,401,28.4,,0.515,0.029,
PRPO.C0.20191203,PRPO,12/3/2019 16:35,43.07,0.112,,2578,182.3,,0.393,0.022,
PRPO.C0.20200204,PRPO,2/4/2020 15:30,217.9,0.562,,5201,366.9,,0.123,0.007,
PRPO.C0.20200310,PRPO,3/10/2020 14:50,175.68,0.436,,3616,242.7,,0.502,0.027,
PRPO.C0.20200609,PRPO,6/9/2020 13:47,82.99,0.14,,1548,63.3,,0.517,0.016,
PRPO.C0.20200630,PRPO,6/30/2020 13:39,108.47,0.167,,704,25.6,,0.579,0.015,
PRPO.C0.20200804,PRPO,8/4/2020 13:57,269.41,0.429,,651,24.8,,0.537,0.015,
PRPO.C0.20200901,PRPO,9/1/2020 13:32,133.05,0.24,,826,36.8,,0.303,0.01,
PRPO.IN.20160607,PRPO,6/7/2016 14:20,122.15,0.218,,2622,115.2,,0.727,0.024,
PRPO.IN.20160706,PRPO,7/6/2016 14:00,214.3,0.344,,1032,39.8,,0.487,0.014,
PRPO.IN.20160802,PRPO,8/2/2016 14:03,502.43,0.775,,656,24,,0.158,0.004,
PRPO.IN.20160906,PRPO,9/6/2016 15:05,108.3,0.194,,546,24.2,,1.206,0.04,
PRPO.IN.20161018,PRPO,10/18/2016 14:55,36.38,0.081,,382,22.2,,0.585,0.026,
PRPO.IN.20161115,PRPO,11/15/2016 16:00,18.45,0.043,,963,59.9,,0.977,0.047,
PRPO.IN.20170411,PRPO,4/11/2017 14:10,198.8,0.491,,1263,83.6,,0.446,0.023,
PRPO.IN.20170502,PRPO,5/2/2017 13:45,25.64,0.056,,317,17.8,,0.392,0.017,
PRPO.IN.20170606,PRPO,6/6/2017 14:00,289.77,0.478,,775,30.9,,0.405,0.012,
PRPO.IN.20170705,PRPO,7/5/2017 14:05,95.91,0.153,,706,26.9,,0.398,0.011,
PRPO.IN.20170802,PRPO,8/2/2017 13:55,309.3,0.479,,1273,46.9,,0.304,0.008,
PRPO.IN.20170905,PRPO,9/5/2017 13:45,12.05,0.022,,722,32.2,,0.431,0.014,
PRPO.IN.20171017,PRPO,10/17/2017 13:45,9.88,0.023,,608,37,,0.414,0.02,
PRPO.IN.20171031,PRPO,10/31/2017 14:55,3.67,0.01,,502,36.9,,0.288,0.017,
PRPO.OT.20160607,PRPO,6/7/2016 15:25,151.18,0.267,,2713,117.5,,0.494,0.016,
PRPO.OT.20160706,PRPO,7/6/2016 15:13,212.77,0.339,,871,33.2,,0.225,0.006,
PRPO.OT.20160802,PRPO,8/2/2016 15:01,3.7,0.006,,935,33.6,,0.446,0.012,
PRPO.OT.20160906,PRPO,9/6/2016 15:45,201.66,0.362,,524,23.2,,0.677,0.022,
PRPO.OT.20161018,PRPO,10/18/2016 15:50,14.13,0.031,,338,19.6,,0.615,0.028,
PRPO.OT.20161115,PRPO,11/15/2016 16:35,17.95,0.042,,905,56.3,,0.965,0.047,
PRPO.OT.20170411,PRPO,4/11/2017 15:20,184.46,0.46,,1223,82,,0.524,0.028,
PRPO.OT.20170502,PRPO,5/2/2017 14:35,20.81,0.045,,308,17.1,,0.404,0.017,
PRPO.OT.20170606,PRPO,6/6/2017 15:00,337.81,0.554,,785,31,,0.35,0.01,
PRPO.OT.20170705,PRPO,7/5/2017 14:55,207.81,0.335,,927,35.9,,0.492,0.014,
PRPO.OT.20170802,PRPO,8/2/2017 14:50,308.45,0.477,,1248,45.8,,0.337,0.009,
PRPO.OT.20170905,PRPO,9/5/2017 14:27,2.17,0.004,,640,28.6,,0.379,0.013,
PRPO.OT.20171017,PRPO,10/17/2017 14:49,19.97,0.046,,654,39.9,,0.448,0.021,
PRPO.OT.20171031,PRPO,10/31/2017 15:46,4.36,0.012,,527,38.7,,0.356,0.021,
REDB.RE.20180419,REDB,4/19/2018 18:44,0.01,0,BDL,570,38.5,,1.302,0.068,
REDB.RE.20180424,REDB,4/24/2018 17:14,6.79,0.019,,856,62.4,,0.553,0.032,
REDB.SS.20161004,REDB,10/4/2016 18:05,3.06,0.008,,960,66.2,,3.072,0.165,
REDB.SS.20161025,REDB,10/25/2016 15:11,2.89,0.007,,1212,79.4,,2.532,0.128,
REDB.SS.20161108,REDB,11/8/2016 18:12,2.74,0.007,,923,64.4,,0.946,0.051,
REDB.SS.20170110,REDB,1/10/2017 19:55,3.22,0.01,,632,50.6,,0.724,0.046,
REDB.SS.20170221,REDB,2/21/2017 19:02,1.58,0.004,,669,48.6,,0.466,0.027,
REDB.SS.20170321,REDB,3/21/2017 16:54,1.82,0.005,,633,45.1,,0.499,0.028,
REDB.SS.20170328,REDB,3/28/2017 18:26,2.58,0.007,,674,47.4,,0.506,0.028,
REDB.SS.20170404,REDB,4/4/2017 17:27,1.9,0.005,,629,46.7,,0.622,0.036,
REDB.SS.20170412,REDB,4/12/2017 16:10,1.04,0.003,,833,60.8,,0.786,0.045,
REDB.SS.20170502,REDB,5/2/2017 17:33,1.62,0.004,,415,28.3,,0.392,0.021,
REDB.SS.20170511,REDB,5/11/2017 16:44,0.31,0.001,,489,32,,0.468,0.024,
REDB.SS.20170516,REDB,5/16/2017 15:43,0.01,0,BDL,470,32.1,,0.328,0.017,
REDB.SS.20170523,REDB,5/23/2017 16:42,1.09,0.003,,789,52.1,,0.646,0.033,
REDB.SS.20170606,REDB,6/6/2017 15:14,2.47,0.006,,783,49.1,,0.597,0.029,
REDB.SS.20170613,REDB,6/13/2017 17:01,2.48,0.006,,755,51,,0.361,0.019,
REDB.SS.20170627,REDB,6/27/2017 16:11,0.01,0,BDL,982,60.6,,0.666,0.032,
REDB.SS.20170711,REDB,7/11/2017 17:15,1.7,0.004,,1145,67.1,,7.375,0.329,
REDB.SS.20170725,REDB,7/25/2017 16:35,1.82,0.004,,941,54.6,,0.734,0.032,
REDB.SS.20170801,REDB,8/1/2017 19:56,1.2,0.003,,1026,56.6,,0.58,0.024,
REDB.SS.20170905,REDB,9/5/2017 17:15,1.72,0.004,,959,55.4,,0.434,0.019,
REDB.SS.20170912,REDB,9/12/2017 17:51,1.81,0.004,,915,53.6,,1.344,0.06,
REDB.SS.20171003,REDB,10/3/2017 15:46,0.01,0,BDL,812,59.3,,0.505,0.029,
REDB.SS.20171024,REDB,10/24/2017 16:34,0.83,0.002,,782,57.3,,0.409,0.024,
REDB.SS.20171108,REDB,11/8/2017 17:26,0.01,0,BDL,668,54.8,,0.337,0.022,
REDB.SS.20171205,REDB,12/5/2017 17:16,0.83,0.003,,711,59.4,,0.337,0.022,
REDB.SS.20180102,REDB,1/2/2018 18:58,0.11,0,,710,59.4,,0.374,0.025,
REDB.SS.20180206,REDB,2/6/2018 16:52,0.94,0.003,,698,51.5,,0.454,0.027,
REDB.SS.20180220,REDB,2/20/2018 19:08,0.01,0,BDL,797,67.8,,0.412,0.028,
REDB.SS.20180306,REDB,3/6/2018 20:53,1.13,0.003,,617,50.1,,0.417,0.027,
REDB.SS.20180327,REDB,3/27/2018 15:22,2.09,0.006,,641,53.4,,0.47,0.031,
REDB.SS.20180404,REDB,4/4/2018 15:28,1.86,0.005,,609,46.4,,0.759,0.046,
REDB.SS.20180411,REDB,4/11/2018 17:30,4.21,0.011,,729,50.3,,0.381,0.02,
REDB.SS.20180501,REDB,5/1/2018 15:41,1.57,0.004,,513,38.1,,0.248,0.014,
REDB.SS.20180508,REDB,5/8/2018 15:45,1.92,0.005,,681,44.7,,0.001,0,BDL
REDB.SS.20180515,REDB,5/15/2018 15:13,0.64,0.002,,641,43.2,,0.415,0.022,
REDB.SS.20180522,REDB,5/22/2018 15:25,0.55,0.001,,777,50.6,,0.363,0.018,
REDB.SS.20180529,REDB,5/29/2018 17:04,2.53,0.006,,890,57.4,,0.436,0.022,
REDB.SS.20180605,REDB,6/5/2018 15:42,2.36,0.006,,885,55,,0.458,0.022,
REDB.SS.20180612,REDB,6/12/2018 15:47,1.88,0.005,,871,56.3,,0.078,0.004,
REDB.SS.20180619,REDB,6/19/2018 16:30,1.06,0.003,,1103,68.7,,2.813,0.134,
REDB.SS.20180702,REDB,7/2/2018 16:25,1.09,0.003,,856,52.5,,0.893,0.042,
REDB.SS.20180724,REDB,7/24/2018 16:25,1.49,0.003,,984,54.4,,0.777,0.033,
REDB.SS.20180807,REDB,8/7/2018 15:52,1.95,0.005,,945,55.9,,1.438,0.065,
REDB.SS.20180904,REDB,9/4/2018 16:25,1.19,0.003,,720,44.1,,0.32,0.015,
REDB.SS.20180911,REDB,9/11/2018 15:08,2.1,0.005,,733,45.2,,0.379,0.018,
REDB.SS.20181001,REDB,10/1/2018 18:17,1.75,0.004,,1147,71.9,,0.449,0.022,
REDB.SS.20181106,REDB,11/6/2018 17:02,3.54,0.01,,559,43.1,,0.337,0.021,
REDB.SS.20181119,REDB,11/19/2018 17:28,2.32,0.007,,899,71.7,,0.553,0.035,
REDB.SS.20181204,REDB,12/4/2018 17:39,1.46,0.004,,1237,98.2,,0.502,0.032,
REDB.SS.20190108,REDB,1/8/2019 17:51,3.92,0.011,,1037,81.8,,1.32,0.083,
REDB.SS.20190211,REDB,2/11/2019 20:41,4.53,0.013,,836,65.4,,0.486,0.03,
REDB.SS.20190219,REDB,2/19/2019 18:53,1.48,0.004,,685,55.5,,0.483,0.031,
REDB.SS.20190311,REDB,3/11/2019 19:00,0.47,0.001,,721,52.7,,0.428,0.025,
REDB.SS.20190319,REDB,3/19/2019 17:09,1.17,0.003,,647,48,,0.372,0.022,
REDB.SS.20190401,REDB,4/1/2019 16:40,2.54,0.007,,529,40.4,,0.361,0.022,
REDB.SS.20190408,REDB,4/8/2019 17:12,0.01,0,BDL,594,42.7,,0.319,0.018,
REDB.SS.20190422,REDB,4/22/2019 16:51,0.77,0.002,,429,30.4,,0.208,0.012,
REDB.SS.20190501,REDB,5/1/2019 16:18,0.74,0.002,,430,31.3,,0.195,0.011,
REDB.SS.20190508,REDB,5/8/2019 18:07,1.27,0.003,,505,34.1,,0.301,0.016,
REDB.SS.20190513,REDB,5/13/2019 17:19,2.05,0.005,,534,35.3,,0.225,0.012,
REDB.SS.20190521,REDB,5/21/2019 16:29,0.01,0,BDL,748,49.7,,0.393,0.02,
REDB.SS.20190528,REDB,5/28/2019 16:18,2.23,0.006,,1262,81.9,,0.312,0.016,
REDB.SS.20190604,REDB,6/4/2019 14:47,2.83,0.007,,777,51.8,,0.621,0.032,
REDB.SS.20190612,REDB,6/12/2019 17:32,1.84,0.004,,559,35.3,,0.368,0.018,
REDB.SS.20190625,REDB,6/25/2019 17:06,0.81,0.002,,530,33.9,,0.352,0.017,
REDB.SS.20190709,REDB,7/9/2019 16:28,1.81,0.004,,685,42.6,,0.28,0.013,
REDB.SS.20190722,REDB,7/22/2019 17:21,0.01,0,BDL,729,43.2,,0.232,0.011,
REDB.SS.20190807,REDB,8/7/2019 16:37,0.44,0.001,,707,41,,0.218,0.01,
REDB.SS.20190903,REDB,9/3/2019 17:52,0.35,0.001,,662,38.6,,0.431,0.019,
REDB.SS.20190917,REDB,9/17/2019 18:46,0.01,0,BDL,548,33.8,,0.216,0.01,
REDB.SS.20191001,REDB,10/1/2019 18:39,2.36,0.006,,463,33.6,,0.628,0.036,
REDB.SS.20191105,REDB,11/5/2019 18:58,3.2,0.009,,461,35.7,,0.201,0.012,
REDB.SS.20191111,REDB,11/11/2019 18:55,1.92,0.005,,530,40.1,,0.189,0.011,
REDB.SS.20191203,REDB,12/3/2019 16:47,3.23,0.009,,375,28.9,,0.179,0.011,
REDB.SS.20200122,REDB,1/22/2020 19:54,3.65,0.011,,444,34.8,,0.253,0.016,
REDB.SS.20200204,REDB,2/5/2020 2:18,1.94,0.006,,808,64.7,,0.342,0.022,
REDB.SS.20200217,REDB,2/17/2020 18:20,0.7,0.002,,520,42.9,,0.402,0.026,
REDB.SS.20200304,REDB,3/4/2020 21:33,0.01,0,BDL,425,32.1,,0.349,0.021,
REDB.SS.20200316,REDB,3/16/2020 17:05,0.01,0,BDL,491,37.4,,0.436,0.026,
REDB.SS.20200728,REDB,7/28/2020 15:57,1.63,0.004,,919,53.1,,0.426,0.019,
REDB.SS.20200804,REDB,8/4/2020 17:25,2.21,0.005,,953,55.2,,0.706,0.031,
REDB.SS.20200810,REDB,8/10/2020 15:44,0.13,0,,788,47.1,,0.759,0.035,
REDB.SS.20200901,REDB,9/1/2020 15:04,2.4,0.006,,595,38.9,,0.19,0.01,
SUGG.C0.20160809,SUGG,8/9/2016 13:30,195.01,0.258,,7044,216.1,,0.871,0.019,
SUGG.C0.20160906,SUGG,9/6/2016 14:07,320.04,0.428,,6118,190.2,,2.124,0.048,
SUGG.C0.20161011,SUGG,10/11/2016 14:22,153.8,0.22,,3041,103,,0.881,0.022,
SUGG.C0.20161031,SUGG,10/31/2016 13:30,96.09,0.142,,4499,158.1,,0.473,0.012,
SUGG.C0.20161205,SUGG,12/5/2016 15:50,29.33,0.047,,1669,65.2,,0.497,0.014,
SUGG.C0.20170131,SUGG,1/31/2017 14:57,201.42,0.36,,4970,222.8,,0.309,0.011,
SUGG.C0.20170228,SUGG,2/28/2017 14:40,153.82,0.235,,2694,99.3,,0.35,0.01,
SUGG.C0.20170403,SUGG,4/3/2017 13:36,1.3,0.002,,333,11.5,,0.075,0.002,
SUGG.C0.20170501,SUGG,5/1/2017 14:36,35.82,0.049,,3057,97,,0.798,0.018,
SUGG.C0.20170606,SUGG,6/6/2017 13:57,105.9,0.143,,4429,139.4,,0.678,0.015,
SUGG.C0.20170626,SUGG,6/26/2017 14:19,301.73,0.38,,6729,193.8,,1.486,0.031,
SUGG.C0.20170801,SUGG,8/1/2017 14:10,376.84,0.498,,12874,393.9,,0.734,0.016,
SUGG.C0.20170904,SUGG,9/4/2017 14:18,38.86,0.051,,8289,251.8,,1.068,0.023,
SUGG.C0.20171003,SUGG,10/3/2017 14:10,479.11,0.667,,11914,389.7,,0.78,0.019,
SUGG.C0.20171106,SUGG,11/6/2017 15:52,102.81,0.156,,7145,261,,0.434,0.012,
SUGG.C0.20180103,SUGG,1/3/2018 16:14,27.81,0.056,,2461,127,,0.565,0.022,
SUGG.C0.20180205,SUGG,2/5/2018 15:53,147.54,0.259,,4214,185.1,,0.777,0.026,
SUGG.C0.20180305,SUGG,3/5/2018 18:01,174.2,0.28,,7540,295.3,,0.675,0.02,
SUGG.C0.20180402,SUGG,4/2/2018 17:03,117.44,0.177,,4914,177,,0.372,0.01,
SUGG.C0.20180430,SUGG,4/30/2018 14:40,381.78,0.549,,8554,291.6,,0.734,0.018,
SUGG.C0.20180604,SUGG,6/4/2018 16:00,256.61,0.339,,10149,309.4,,0.505,0.011,
SUGG.C0.20180709,SUGG,7/9/2018 14:09,989.93,1.301,,14118,429.4,,0.777,0.017,
SUGG.C0.20180730,SUGG,7/30/2018 14:30,1913.04,2.558,,13512,419.6,,0.596,0.013,
SUGG.C0.20180904,SUGG,9/4/2018 14:27,1704.34,2.316,,12306,390,,0.712,0.016,
SUGG.C0.20181001,SUGG,10/1/2018 16:50,1108.62,1.474,,10309,318,,0.82,0.018,
SUGG.C0.20181105,SUGG,11/5/2018 17:16,195.34,0.302,,4846,181,,0.847,0.023,
SUGG.C0.20181204,SUGG,12/4/2018 17:52,92.92,0.156,,2926,121.3,,0.378,0.012,
SUGG.C0.20190107,SUGG,1/7/2019 17:42,51.86,0.09,,6035,261.8,,0.449,0.015,
SUGG.C0.20190204,SUGG,2/4/2019 18:48,74.12,0.138,,3195,150.6,,0.43,0.015,
SUGG.C0.20190304,SUGG,3/4/2019 17:06,142.63,0.232,,4724,188,,0.298,0.009,
SUGG.C0.20190411,SUGG,4/11/2019 15:58,92.19,0.14,,5220,190.9,,0.463,0.013,
SUGG.C0.20190507,SUGG,5/7/2019 14:07,205.01,0.296,,6768,231.7,,0.402,0.01,
SUGG.C0.20190610,SUGG,6/10/2019 16:30,318.23,0.448,,8125,268.8,,0.426,0.01,
SUGG.C0.20190813,SUGG,8/13/2019 15:30,50.06,0.067,,4057,125.8,,0.172,0.004,
SUGG.C0.20190910,SUGG,9/10/2019 14:07,180.41,0.246,,5052,161.3,,0.579,0.013,
SUGG.C0.20191001,SUGG,10/1/2019 15:34,69.86,0.098,,5718,188.1,,0.523,0.013,
SUGG.C0.20191104,SUGG,11/4/2019 16:31,46.83,0.075,,3662,141.8,,0.895,0.026,
SUGG.C0.20191209,SUGG,12/9/2019 15:28,35.36,0.063,,2841,125.7,,0.989,0.033,
SUGG.C0.20200107,SUGG,1/7/2020 15:01,36.42,0.066,,3453,157.9,,1.651,0.057,
SUGG.C0.20200204,SUGG,2/4/2020 15:48,34.17,0.064,,2562,122.5,,1.068,0.039,
SUGG.C0.20200303,SUGG,3/3/2020 16:00,41.88,0.074,,3229,143.1,,1.038,0.035,
SUGG.C0.20200616,SUGG,6/16/2020 14:35,520.02,0.735,,6688,222.8,,1.54,0.037,
SUGG.C0.20200707,SUGG,7/7/2020 14:55,179.8,0.251,,7071,232.1,,1.937,0.046,
SUGG.IN.20160809,SUGG,8/9/2016 14:30,45.05,0.06,,719,22,,0.587,0.013,
SUGG.IN.20160906,SUGG,9/6/2016 14:50,2.28,0.003,,394,11.9,,0.052,0.001,
SUGG.IN.20161011,SUGG,10/11/2016 14:52,254.24,0.365,,3796,129.3,,0.933,0.023,
SUGG.IN.20161031,SUGG,10/31/2016 14:05,1.72,0.003,,758,26.6,,0.929,0.024,
SUGG.IN.20161205,SUGG,12/5/2016 16:26,219.41,0.355,,6464,255.3,,0.314,0.009,
SUGG.IN.20170131,SUGG,1/31/2017 15:30,32.92,0.058,,1751,77.8,,0.568,0.019,
SUGG.IN.20170228,SUGG,2/28/2017 15:15,179.19,0.275,,3088,114.4,,0.479,0.013,
SUGG.IN.20170501,SUGG,5/1/2017 14:48,188.35,0.256,,4758,150.5,,1.216,0.028,
SUGG.IN.20170606,SUGG,6/6/2017 14:25,464.62,0.628,,5540,173.9,,0.415,0.009,
SUGG.IN.20170626,SUGG,6/26/2017 14:29,884.82,1.106,,9306,265.3,,1.054,0.021,
SUGG.IN.20170801,SUGG,8/1/2017 14:29,349.9,0.459,,11715,354.7,,0.575,0.013,
SUGG.IN.20170904,SUGG,9/4/2017 14:42,96.16,0.126,,11496,347.3,,0.563,0.012,
SUGG.IN.20171003,SUGG,10/3/2017 14:35,696.11,0.969,,15230,498.1,,0.747,0.018,
SUGG.IN.20171106,SUGG,11/6/2017 16:19,87.49,0.129,,7185,251.2,,0.377,0.01,
SUGG.OT.20160906,SUGG,9/6/2016 14:27,1486.82,1.95,,8892,269.9,,2.799,0.061,
SUGG.OT.20161011,SUGG,10/11/2016 15:30,429.98,0.611,,5102,171.5,,1.221,0.03,
SUGG.OT.20161031,SUGG,10/31/2016 14:50,76.81,0.113,,3063,107.4,,1.033,0.027,
SUGG.OT.20161205,SUGG,12/5/2016 17:02,73.05,0.117,,3341,130.1,,0.702,0.02,
SUGG.OT.20170131,SUGG,1/31/2017 16:02,74.63,0.131,,3700,162.5,,0.782,0.026,
SUGG.OT.20170228,SUGG,2/28/2017 15:34,222.39,0.335,,3183,115,,0.511,0.014,
SUGG.OT.20170501,SUGG,5/1/2017 15:20,215.42,0.29,,3593,112.5,,0.971,0.022,
SUGG.OT.20170606,SUGG,6/6/2017 14:52,756.76,1.016,,6394,199.1,,0.433,0.01,
SUGG.OT.20170626,SUGG,6/26/2017 15:21,985.81,1.248,,9713,281.2,,1.353,0.028,
SUGG.OT.20170801,SUGG,8/1/2017 14:53,1250.19,1.639,,14289,432.6,,0.502,0.011,
SUGG.OT.20170904,SUGG,9/4/2017 15:05,90.81,0.119,,9852,297.7,,0.497,0.011,
SUGG.OT.20171003,SUGG,10/3/2017 15:05,248.55,0.344,,14654,476.7,,0.531,0.013,
SUGG.OT.20171106,SUGG,11/6/2017 16:28,709.88,1.082,,8372,306.7,,0.396,0.011,
SYCA.RE.20171003,SYCA,10/3/2017 17:00,3800.3,6.656,,16546,704.1,,9.171,0.289,
SYCA.RE.20180717,SYCA,7/17/2018 19:32,12.9,0.019,,3946,135.2,,0.813,0.02,
SYCA.RE.20180807,SYCA,8/7/2018 15:14,18425.69,28.634,,7630,279,,0.382,0.01,
SYCA.RE.20181017,SYCA,10/17/2018 16:26,2471.73,4.826,,5493,268.8,,0.307,0.011,
SYCA.RE.20190108,SYCA,1/8/2019 18:13,2.16,0.005,,2453,156,,1.152,0.057,
SYCA.RE.20190221,SYCA,2/21/2019 14:55,0.01,0,BDL,522,32.5,,0.469,0.023,
SYCA.RE.20190226,SYCA,2/26/2019 16:17,2.03,0.005,,648,40.9,,0.42,0.021,
SYCA.RE.20190227,SYCA,2/27/2019 15:29,1.75,0.004,,636,38.4,,0.61,0.029,
SYCA.RE.20190313,SYCA,3/13/2019 15:11,8.91,0.02,,531,31,,0.402,0.018,
SYCA.RE.20200226,SYCA,2/26/2020 19:00,12.78,0.027,,1020,54.2,,0.787,0.032,
SYCA.SS.20170620,SYCA,6/20/2017 17:05,1007.31,1.631,,14323,554,,0.27,0.008,
SYCA.SS.20170711,SYCA,7/11/2017 14:30,1343.75,2.166,,15969,615.8,,0.374,0.011,
SYCA.SS.20170725,SYCA,7/25/2017 16:20,1538.16,2.448,,17951,681,,0.437,0.012,
SYCA.SS.20170801,SYCA,8/1/2017 14:08,7.83,0.013,,4860,185.7,,0.824,0.023,
SYCA.SS.20170905,SYCA,9/5/2017 16:59,3546.79,5.619,,18746,702.8,,0.353,0.01,
SYCA.SS.20180731,SYCA,7/31/2018 17:34,0.01,0,BDL,3142,100.1,,1.074,0.024,
SYCA.SS.20180814,SYCA,8/14/2018 15:30,744.24,1.131,,5298,188.4,,0.663,0.017,
SYCA.SS.20180828,SYCA,8/28/2018 15:26,3738.89,5.962,,27718,1047.6,,168.404,4.645,
SYCA.SS.20180904,SYCA,9/4/2018 16:28,4997.74,8.021,,24820,945.3,,104.524,2.907,
SYCA.SS.20180911,SYCA,9/11/2018 16:06,1466.69,2.437,,12285,488.8,,0.928,0.027,
SYCA.SS.20180925,SYCA,9/25/2018 15:52,961.69,1.646,,6917,286,,0.434,0.013,
SYCA.SS.20181002,SYCA,10/2/2018 16:20,533.19,0.887,,4351,173.6,,1.846,0.054,
SYCA.SS.20190212,SYCA,2/12/2019 20:34,4.47,0.009,,2835,136.2,,2.267,0.082,
SYCA.SS.20190214,SYCA,2/14/2019 16:03,1.57,0.003,,3369,173,,1.818,0.071,
SYCA.SS.20190305,SYCA,3/5/2019 18:14,1.67,0.003,,807,41.3,,0.522,0.02,
SYCA.SS.20190319,SYCA,3/19/2019 18:25,3.94,0.007,,1105,51.4,,0.324,0.011,
SYCA.SS.20190325,SYCA,3/25/2019 20:16,10.56,0.018,,1342,55.2,,0.268,0.008,
SYCA.SS.20190409,SYCA,4/9/2019 15:40,45.33,0.085,,1420,66.2,,0.36,0.013,
